Instance name		n	A	F	M	N	S
bht.txt	5757	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
common-1-100.txt	100	True	-1	-1	not implemented - NP Hard???	False	
common-1-1000.txt	1000	True	-1	-1	not implemented - NP Hard???	False	
common-1-1500.txt	1500	True	-1	-1	not implemented - NP Hard???	False	
common-1-20.txt	20	True	-1	-1	not implemented - NP Hard???	False	
common-1-2000.txt	2000	True	-1	-1	not implemented - NP Hard???	False	
common-1-250.txt	250	True	-1	-1	not implemented - NP Hard???	False	
common-1-2500.txt	2500	True	-1	-1	not implemented - NP Hard???	False	
common-1-3000.txt	3000	True	-1	-1	not implemented - NP Hard???	False	
common-1-3500.txt	3500	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
common-1-4000.txt	4000	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
common-1-4500.txt	4500	TIMEOUT	-1	-1	not implemented - NP Hard???	True	
common-1-50.txt	50	True	-1	-1	not implemented - NP Hard???	False	
common-1-500.txt	500	True	-1	-1	not implemented - NP Hard???	False	
common-1-5000.txt	5000	TIMEOUT	-1	-1	not implemented - NP Hard???	True	
common-1-5757.txt	5757	TIMEOUT	-1	-1	not implemented - NP Hard???	True	
common-2-100.txt	100	True	-1	-1	not implemented - NP Hard???	False	
common-2-1000.txt	1000	True	-1	-1	not implemented - NP Hard???	True	
common-2-1500.txt	1500	True	-1	-1	not implemented - NP Hard???	True	
common-2-20.txt	20	True	-1	-1	not implemented - NP Hard???	False	
common-2-2000.txt	2000	TIMEOUT	-1	-1	not implemented - NP Hard???	True	
common-2-250.txt	250	True	-1	-1	not implemented - NP Hard???	False	
common-2-2500.txt	2500	TIMEOUT	-1	-1	not implemented - NP Hard???	True	
common-2-3000.txt	3000	TIMEOUT	-1	-1	not implemented - NP Hard???	True	
common-2-3500.txt	3500	TIMEOUT	-1	-1	not implemented - NP Hard???	True	
common-2-4000.txt	4000	TIMEOUT	-1	-1	not implemented - NP Hard???	True	
common-2-4500.txt	4500	TIMEOUT	-1	-1	not implemented - NP Hard???	True	
common-2-50.txt	50	True	-1	-1	not implemented - NP Hard???	False	
common-2-500.txt	500	True	-1	-1	not implemented - NP Hard???	True	
common-2-5000.txt	5000	TIMEOUT	-1	-1	not implemented - NP Hard???	Error in alternate.py: maximum recursion depth exceeded while calling a Python object	
common-2-5757.txt	5757	TIMEOUT	-1	-1	not implemented - NP Hard???	Error in alternate.py: maximum recursion depth exceeded while calling a Python object	
dodecahedron.txt	20	True	-1	-1	not implemented - NP Hard???	False	
